Feature,Importance
Crime_Count_W_rolling15,0.4365791
Crime_Count_W_rolling8,0.3025112
census_block,0.13912371
Crime_Count_W_rolling3,0.022046445
dow_cos,0.020306857
dow_sin,0.018198088
daylight_lag52_interaction,0.0051155775
Crime_Count_W_rolling4,0.0044944845
precipitation_hours,0.004346234
daylight_lag1_interaction,0.0040623145
precipitation_sum,0.0038160607
daylight_lag24_interaction,0.00366223
temp_rolling3_interaction,0.002785854
temp_rolling15_interaction,0.0024731539
day_cos,0.0021629452
temp_rolling4_interaction,0.0021028968
temp_range,0.002033886
temp_rolling2_interaction,0.0018995742
Crime_Count_W_lag52w,0.0018689855
precip_rolling15_interaction,0.0018246805
Crime_Count_W_rolling2,0.0018023194
precip_rolling4_interaction,0.0017976827
daylight_lag12_interaction,0.001784144
day_sin,0.001768382
daylight_lag4_interaction,0.0017588342
Crime_Count_W_lag1w,0.0017544834
precip_rolling2_interaction,0.00167961
Crime_Count_W_lag24w,0.0016237674
Crime_Count_W_lag4w,0.0015551795
precip_rolling3_interaction,0.0015485183
Crime_Count_W_lag12w,0.0015128108
